Site(id=2434, URL=https://liquipedia.net/dota2/Alliance, dotaCount=39, valorantCount=0, csCount=1, pubgCount=4)
Site(id=2437, URL=https://liquipedia.net/dota2/Alliance#, dotaCount=39, valorantCount=0, csCount=1, pubgCount=4)
Site(id=2438, URL=https://liquipedia.net/dota2/Dota_2_Champions_League/2022/Season_11, dotaCount=18, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2374, URL=https://www.teamliquid.com/news/2022/12/02/sayf-a-long-and-odd-path-to-the-top, dotaCount=1, valorantCount=17, csCount=2, pubgCount=0)
Site(id=2378, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2379, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2380, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2381, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2382, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2383, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2384, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2385, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2386, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2387, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2388, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2389, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2390, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2391, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2392, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2393, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2394, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2395, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2396, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2397, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2398, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2399, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2400, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2401, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2402, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2403, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2404, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2405, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2406, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2407, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2408, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2409, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2411, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2412, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2413, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2414, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2415, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2416, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2417, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2418, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2420, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2421, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2424, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2427, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2428, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2429, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2430, URL=https://liquipedia.net/dota2/Main_Page#, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2432, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2435, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2436, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2439, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=14, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2313, URL=https://liquipedia.net/, dotaCount=3, valorantCount=0, csCount=2, pubgCount=8)
Site(id=2346, URL=https://liquipedia.net/, dotaCount=3, valorantCount=0, csCount=2, pubgCount=8)
Site(id=2375, URL=https://liquipedia.net/, dotaCount=3, valorantCount=0, csCount=2, pubgCount=8)
Site(id=2440, URL=https://liquipedia.net/dota2/BOOM, dotaCount=10, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2410, URL=https://liquipedia.net/dota2/BTS/Pro_Series/13/Southeast_Asia, dotaCount=8, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2419, URL=https://liquipedia.net/dota2/BTS/Pro_Series/13/Southeast_Asia#, dotaCount=8, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2422, URL=https://liquipedia.net/dota2/BTS/Pro_Series/13/Southeast_Asia#, dotaCount=8, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2423, URL=https://liquipedia.net/dota2/BTS/Pro_Series/13/Southeast_Asia#, dotaCount=8, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2425, URL=https://liquipedia.net/dota2/BTS/Pro_Series/13/Southeast_Asia#, dotaCount=8, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2426, URL=https://liquipedia.net/dota2/BTS/Pro_Series/13/Americas, dotaCount=7, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2431, URL=https://liquipedia.net/dota2/BTS/Pro_Series/13/Americas#, dotaCount=7, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2433, URL=https://liquipedia.net/dota2/BTS/Pro_Series/13/Americas#, dotaCount=7, valorantCount=0, csCount=1, pubgCount=2)
Site(id=2314, URL=https://tl.net/, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2315, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2316, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2317, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2318, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2319, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2320, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2321, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2322, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2323, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2324, URL=https://tl.net/mytlnet/register, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2325, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2326, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2327, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2328, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2329, URL=https://tl.net/mytlnet/register, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2330, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2332, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2333, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2334, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2335, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2336, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2337, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2338, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2339, URL=https://tl.net/mytlnet/register, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2340, URL=https://tl.net/mytlnet/register, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2341, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2342, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2343, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2347, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2348, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2349, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2350, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2351, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2352, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2353, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2354, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2355, URL=https://tl.net/mytlnet/register, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2356, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2357, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2358, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2359, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2360, URL=https://tl.net/mytlnet/register, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2361, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2363, URL=https://tl.net/mytlnet/register, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2364, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2365, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2366, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2367, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2368, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2369, URL=https://tl.net/mytlnet/login, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2370, URL=https://tl.net/mytlnet/register, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2376, URL=https://tl.net/, dotaCount=5, valorantCount=0, csCount=3, pubgCount=0)
Site(id=2331, URL=https://www.teamliquid.com/, dotaCount=5, valorantCount=2, csCount=0, pubgCount=0)
Site(id=2344, URL=https://www.teamliquid.com/, dotaCount=5, valorantCount=2, csCount=0, pubgCount=0)
Site(id=2362, URL=https://www.teamliquid.com/, dotaCount=5, valorantCount=2, csCount=0, pubgCount=0)
Site(id=2371, URL=https://www.teamliquid.com/, dotaCount=5, valorantCount=2, csCount=0, pubgCount=0)
Site(id=2345, URL=http://www.alienware.com/, dotaCount=0, valorantCount=0, csCount=0, pubgCount=0)
Site(id=2372, URL=http://www.alienware.com/, dotaCount=0, valorantCount=0, csCount=0, pubgCount=0)
Site(id=2373, URL=https://www.dell.com/en-us/gaming/alienware#aw-section-content-1, dotaCount=0, valorantCount=0, csCount=0, pubgCount=0)
Site(id=2377, URL=https://twitter.com/tlnet, dotaCount=0, valorantCount=0, csCount=0, pubgCount=0)
Site(id=2441, URL=https://liquipedia.net/dota2/Main_Page, dotaCount=16, valorantCount=0, csCount=1, pubgCount=2)
